"Agent","Proportion Passed"
"Children (Aged 6-10)",0.600423728813559
"Trrrrr",0.44
"ironbar",0.437777777777778
"sirius",0.388888888888889
"BronzeBlood",0.357777777777778
"Oltau.ai/Psidon",0.35
"sungbinchoi",0.343333333333333
"DeepFox",0.334444444444444
"Melflo",0.334444444444444
"ARF-RL",0.328888888888889
"UniboTeam",0.327777777777778
"Juramaia",0.321111111111111
"oreleus",0.321111111111111
"cso",0.311111111111111
"Neo",0.307777777777778
"mmIA",0.297777777777778
"Gyutan",0.28
"winter2109",0.274444444444444
"forest",0.267777777777778
"CUMIN",0.252222222222222
"Qodiak",0.243333333333333
"y.yang",0.228888888888889
"animalAI-challenge",0.224444444444444
"GoGoAI",0.215555555555556
"Bonum",0.213333333333333
"Dreamer-v3",0.203333333333333
"doot",0.195555555555556
"Heuristic Agent",0.194444444444444
"KMU-AIL",0.193333333333333
"BLAI",0.191111111111111
"CHROMA",0.176666666666667
"jinrohs",0.174444444444444
"TheAnimalsEscapedFromPenn",0.166666666666667
"AirbrainNM",0.157777777777778
"Horsepower",0.153333333333333
"Koozyt_AnimalAI_alpha",0.151111111111111
"INAOE1",0.148888888888889
"Koozyt_Hiperdyne",0.147777777777778
"41Animals",0.144444444444444
"daydayup",0.143333333333333
"Juohmaru",0.13
"ocorcoll-AI",0.123333333333333
"Thursday",0.117777777777778
"Araya",0.116666666666667
"fep-bot",0.1
"ahorizon",0.0988888888888889
"aSphericalChicken",0.0955555555555556
"ACCESS",0.0944444444444444
"bamasa_team",0.0944444444444444
"bird",0.0944444444444444
"dhr",0.0944444444444444
"hhq126152",0.0944444444444444
"loneWolf",0.0944444444444444
"MadStorks",0.0944444444444444
"NARUTO",0.0944444444444444
"vithng",0.0944444444444444
"Yossy",0.0944444444444444
"sparklemotion",0.0911111111111111
"cocel",0.0855555555555556
"Tetravoxel",0.0833333333333333
"Octopus",0.0677777777777778
"Random Action Agent",0.04
"PPO",0.0255555555555556
"Nishi-Hashi",0.01
"ice-play",0.00333333333333333
